2,15:00:00,3,34
3,15:00:00,4,89
4,15:00:00,5,23
5,15:00:00,6,4
6,15:00:00,7,94
7,15:00:00,8,36
8,15:00:00,9,55
9,15:00:00,10,87
10,15:00:00,1,84
11,15:05:00,2,89
12,15:05:00,3,72
13,15:05:00,4,82
14,15:05:00,5,56
15,15:05:00,6,14
16,15:05:00,7,100
17,15:05:00,8,66
18,15:05:00,9,58
19,15:05:00,10,48
20,15:05:00,1,53
21,15:10:00,2,87
22,15:10:00,3,3
23,15:10:00,4,9
24,15:10:00,5,90
25,15:10:00,6,56
26,15:10:00,7,73
27,15:10:00,8,39
28,15:10:00,9,5
29,15:10:00,10,71
30,15:10:00,1,82
31,15:15:00,2,42
32,15:15:00,3,22
33,15:15:00,4,93
34,15:15:00,5,1
35,15:15:00,6,64
36,15:15:00,7,59
37,15:15:00,8,67
38,15:15:00,9,97
39,15:15:00,10,70
40,15:15:00,1,4
41,15:20:00,2,54
42,15:20:00,3,49
43,15:20:00,4,65
44,15:20:00,5,11
45,15:20:00,6,100
46,15:20:00,7,55
47,15:20:00,8,91
48,15:20:00,9,90
49,15:20:00,10,12
50,15:20:00,1,10
51,15:25:00,2,82
52,15:25:00,3,34
53,15:25:00,4,31
54,15:25:00,5,70
55,15:25:00,6,63
56,15:25:00,7,70
57,15:25:00,8,58
58,15:25:00,9,55
59,15:25:00,10,48
60,15:25:00,1,78
61,15:30:00,2,67
62,15:30:00,3,40
63,15:30:00,4,95
64,15:30:00,5,45
65,15:30:00,6,83
66,15:30:00,7,24
67,15:30:00,8,47
68,15:30:00,9,61
69,15:30:00,10,35
70,15:30:00,1,26
71,15:35:00,2,20
72,15:35:00,3,36
73,15:35:00,4,37
74,15:35:00,5,91
75,15:35:00,6,41
76,15:35:00,7,32
77,15:35:00,8,92
78,15:35:00,9,38
79,15:35:00,10,16
80,15:35:00,1,93
81,15:40:00,2,39
82,15:40:00,3,44
83,15:40:00,4,19
84,15:40:00,5,22
85,15:40:00,6,1
86,15:40:00,7,86
87,15:40:00,8,35
88,15:40:00,9,75
89,15:40:00,10,61
90,15:40:00,1,54
91,15:45:00,2,23
92,15:45:00,3,2
93,15:45:00,4,14
94,15:45:00,5,25
95,15:45:00,6,62
96,15:45:00,7,65
97,15:45:00,8,2
98,15:45:00,9,43
99,15:45:00,10,97
100,15:45:00,1,41
101,15:50:00,2,73
102,15:50:00,3,3
103,15:50:00,4,17
104,15:50:00,5,55
105,15:50:00,6,61
106,15:50:00,7,45
107,15:50:00,8,38
108,15:50:00,9,75
109,15:50:00,10,10
110,15:50:00,1,38
111,15:55:00,2,33
112,15:55:00,3,39
113,15:55:00,4,80
114,15:55:00,5,64
115,15:55:00,6,34
116,15:55:00,7,4
117,15:55:00,8,20
118,15:55:00,9,37
119,15:55:00,10,93
120,15:55:00,1,61
121,16:00:00,2,45
122,16:00:00,3,68
123,16:00:00,4,55
124,16:00:00,5,75
125,16:00:00,6,76
126,16:00:00,7,86
127,16:00:00,8,85
128,16:00:00,9,34
129,16:00:00,10,26
130,16:00:00,1,8
131,16:05:00,2,22
132,16:05:00,3,27
133,16:05:00,4,16
134,16:05:00,5,26
135,16:05:00,6,97
136,16:05:00,7,20
137,16:05:00,8,20
138,16:05:00,9,70
139,16:05:00,10,4
140,16:05:00,1,28
141,16:10:00,2,50
142,16:10:00,3,86
143,16:10:00,4,11
144,16:10:00,5,9
145,16:10:00,6,83
146,16:10:00,7,82
147,16:10:00,8,30
148,16:10:00,9,31
149,16:10:00,10,72
150,16:10:00,1,99
151,16:15:00,2,92
152,16:15:00,3,91
153,16:15:00,4,90
154,16:15:00,5,44
155,16:15:00,6,7
156,16:15:00,7,28
157,16:15:00,8,19
158,16:15:00,9,44
159,16:15:00,10,16
160,16:15:00,1,4
161,16:20:00,2,83
162,16:20:00,3,75
163,16:20:00,4,32
164,16:20:00,5,63
165,16:20:00,6,37
166,16:20:00,7,94
167,16:20:00,8,83
168,16:20:00,9,85
169,16:20:00,10,5
170,16:20:00,1,26
171,16:25:00,2,87
172,16:25:00,3,13
173,16:25:00,4,80
174,16:25:00,5,14
175,16:25:00,6,98
176,16:25:00,7,10
177,16:25:00,8,98
178,16:25:00,9,61
179,16:25:00,10,95
180,16:25:00,1,18
181,16:30:00,2,40
182,16:30:00,3,35
183,16:30:00,4,62
184,16:30:00,5,58
185,16:30:00,6,21
186,16:30:00,7,3
187,16:30:00,8,68
188,16:30:00,9,68
189,16:30:00,10,9
190,16:30:00,1,70
191,16:35:00,2,43
192,16:35:00,3,14
193,16:35:00,4,50
194,16:35:00,5,59
195,16:35:00,6,79
196,16:35:00,7,9
197,16:35:00,8,57
198,16:35:00,9,79
199,16:35:00,10,33
200,16:35:00,1,15
201,16:40:00,2,26
202,16:40:00,3,41
203,16:40:00,4,67
204,16:40:00,5,17
205,16:40:00,6,8
206,16:40:00,7,31
207,16:40:00,8,89
208,16:40:00,9,57
209,16:40:00,10,57
210,16:40:00,1,40
211,16:45:00,2,32
212,16:45:00,3,32
213,16:45:00,4,1
214,16:45:00,5,11
215,16:45:00,6,11
216,16:45:00,7,71
217,16:45:00,8,58
218,16:45:00,9,19
219,16:45:00,10,70
220,16:45:00,1,81
221,16:50:00,2,96
222,16:50:00,3,27
223,16:50:00,4,74
224,16:50:00,5,79
225,16:50:00,6,52
226,16:50:00,7,59
227,16:50:00,8,9
228,16:50:00,9,4
229,16:50:00,10,71
230,16:50:00,1,12
231,16:55:00,2,96
232,16:55:00,3,79
233,16:55:00,4,62
234,16:55:00,5,43
235,16:55:00,6,76
236,16:55:00,7,9
237,16:55:00,8,49
238,16:55:00,9,4
239,16:55:00,10,86
240,16:55:00,1,31
241,17:00:00,2,37
242,17:00:00,3,22
243,17:00:00,4,28
244,17:00:00,5,16
245,17:00:00,6,57
